STRATUM,STRATUM_AREA
1010,8629.638464
1020,7127.340512
1030,1941.325664
1040,644.821952
1050,5059.1084
1060,8759.974816
1070,1762.970656
1080,788.87792
1090,5220.313888
1100,9336.198688
1110,2133.400288
1120,603.663104
1130,8142.592096
1140,2250.017024
1150,788.87792
1160,10221.11392
1170,1234.76544
1180,589.943488
1190,8416.984416
1200,4187.912784
1210,1454.279296
1220,1557.176416
1230,3484.782464
1240,8811.423376
1250,1337.66256
1260,3477.922656
1270,2469.53088
1280,7713.854096
1290,11130.03848
1300,2123.110576
1310,6431.07
1320,2246.58712
1330,2953.147344
1340,6057.210464
1350,3762.604688
1360,13956.27938
1370,7230.237632
1380,8780.55424
1390,2503.82992
1400,1982.484512
1410,13325.17704
1420,1996.204128
1490,679.120992
1610,4520.613472
1620,833.466672
1630,294.971744
1640,205.79424
1650,9713.488128
1660,1903.59672
1670,294.971744
1680,178.355008
1690,8344.956432
1700,3512.221696
1710,963.803024
1720,360.13992
1730,7357.14408
1740,4366.267792
1750,476.756656
1760,205.79424
3010,150.915776
3020,212.654048
3030,44.588752
3040,89.177504
3050,212.654048
3060,89.177504
3070,120.04664
3080,514.4856
3090,137.19616
3100,164.635392
3110,830.036768
3120,150.915776
3130,301.831552
3140,377.28944
3150,75.457888
3160,212.654048
3170,816.317152
3180,332.700688
3190,740.859264
3200,1221.045824
3210,75.457888
3220,528.205216
3230,572.793968
3240,181.784912
3250,589.943488
3260,528.205216
3270,120.04664
3280,754.57888
3290,634.53224
3300,257.2428
3310,1025.541296
3320,363.569824
3330,315.551168
3340,572.793968
3350,301.831552
3360,408.158576
3370,1070.130048
3380,768.298496
3390,120.04664
3400,603.663104
3410,1313.653232
3420,137.19616
3430,589.943488
3440,1042.690816
3450,583.08368
3460,936.363792
3470,154.34568
3480,387.579152
3490,1025.541296
3500,51.44856
3510,401.298768
3520,1786.979984
3530,487.046368
3540,950.083408
3550,1697.80248
3560,195.504528
3570,116.616736
3580,301.831552
3590,318.981072
3600,432.167904
3610,456.177232
3620,212.654048
3630,267.532512
3640,308.69136
3650,257.2428
3660,517.915504
3670,17.14952
3680,137.19616
3690,195.504528
3700,34.29904
3710,246.953088
3720,442.457616
3730,106.327024
3740,233.233472
3750,260.672704
3760,68.59808
3770,116.616736
3780,150.915776
3790,116.616736
3800,198.934432
3810,130.336352
3820,716.849936
3830,274.39232
3840,469.896848
3850,363.569824
3860,205.79424
3870,524.775312
3880,116.616736
3890,202.364336
3900,428.738
3910,3227.539664
5310,6431.07
5320,2246.58712
5410,5069.398112
5420,552.214544
5430,3155.51168
5440,3443.623616
5450,535.065024
5460,908.92456
5470,4225.641728
5480,4283.950096
5490,799.167632
6010,3988.978352
6020,600.2332
6030,432.167904
6040,401.298768
6050,1553.746512
6060,212.654048
6070,157.775584
6080,253.812896
6090,7446.321584
6100,521.345408
6110,785.448016
6120,699.700416
6130,3865.501808
6140,751.148976
6150,1351.382176
6160,723.709744
6170,2568.998096
6180,854.046096
6190,939.793696
6200,411.58848
6210,5659.3416
6220,1070.130048
6230,2448.951456
6240,1632.634304
6250,2222.577792
6260,644.821952
6270,1546.886704
6280,511.055696
6290,3759.174784
6300,2294.605776
6310,3196.670528
6320,2150.549808
6330,1245.055152
6340,696.270512
6350,2061.372304
6360,2380.353376
6370,2304.895488
6380,960.37312
6390,3316.717168
6400,1759.540752
6410,2064.802208
6420,1176.457072
6430,1481.718528
6440,1313.653232
6450,1344.522368
6460,1426.840064
6470,2987.446384
6480,3803.763536
6490,836.896576
6500,514.4856
6510,476.756656
6520,1052.980528
6530,919.214272
6540,953.513312
6550,1248.485056
6560,716.849936
6570,631.102336
6580,1028.9712
6590,1845.288352
6600,2798.801664
6610,1975.624704
6620,2404.362704
6630,2380.353376
6640,3388.745152
6650,562.504256
6660,912.354464
6670,720.27984
6680,1269.06448
6690,3217.249952
6700,1783.55008
6710,500.765984
6720,1728.671616
6730,1718.381904
6740,1485.148432
6800,2630.736368
6810,1234.76544
